RA,IAA,IEG,IPS,math,portuguese,lag,year
RA-331,"9,0","8,7","7,5","2,3","5,0",-1,2022
RA-332,"9,5","9,0","8,1","7,5","7,5",-1,2022
RA-333,"8,0","5,8","3,8","0,2","5,7",-2,2022
RA-334,"6,9","9,2","4,4","7,0","9,0",0,2022
RA-335,"9,5","9,4","7,5","5,8","9,0",0,2022
RA-336,"9,5","8,5","4,4","4,5","5,7",-1,2022
RA-337,"10,0","9,3","7,5","7,5","4,0",0,2022
RA-338,"8,5","7,3","7,5","5,3","6,2",-1,2022
RA-339,"6,9","9,9","7,5","7,1","9,2",0,2022
RA-340,"9,0","8,2","7,5","6,0","7,0",0,2022
RA-341,"8,0","7,7","7,5","5,0","6,5",-1,2022
RA-342,"9,0","6,7","7,5","5,5","7,7",-2,2022
RA-343,"9,5","7,4","7,5","4,2","7,7",-2,2022
RA-344,"8,5","8,3","7,5","2,3","6,7",0,2022
RA-345,"9,5","5,4","5,6","1,3","5,8",-1,2022
RA-346,"10,0","9,1","7,5","6,0","8,0",0,2022
RA-347,"9,0","10,0","5,6","8,5","8,5",-1,2022
RA-348,"9,0","8,7","7,5","0,5","3,0",-1,2022
RA-349,"9,5","7,7","7,5","2,2","5,2",-1,2022
RA-350,"10,0","8,8","7,5","7,0","6,0",0,2022
RA-351,"9,0","7,2","7,5","3,2","4,8",-2,2022
RA-352,"9,0","8,1","5,6","7,3","6,7",0,2022
RA-353,"7,0","10,0","7,5","8,0","7,0",0,2022
RA-354,"8,5","4,3","7,5","2,8","6,2",-1,2022
RA-355,"5,8","5,0","7,5","5,5","3,5",-1,2022
RA-356,"10,0","8,4","5,0","5,3","3,8",-1,2022
RA-357,"8,0","9,6","7,5","10,0","7,0",-1,2022
RA-358,"7,5","6,5","7,5","0,0","0,0",-1,2022
RA-359,"9,0","7,0","7,5","3,3","5,8",-1,2022
RA-360,"9,5","8,5","7,5","4,7","5,7",-1,2022
RA-361,"7,9","9,2","6,3","4,0","6,0",-1,2022
RA-362,"8,5","7,9","7,5","6,5","9,3",-1,2022
RA-363,"10,0","10,0","6,9","1,0","3,0",-1,2022
RA-364,"9,5","10,0","7,5","9,5","8,0",0,2022
RA-365,"8,0","10,0","5,0","6,0","9,5",0,2022
RA-366,"9,5","9,4","7,5","6,0","5,0",-1,2022
RA-367,"8,5","7,4","6,3","5,2","8,2",-1,2022
RA-368,"8,0","7,9","5,0","5,5","9,0",-1,2022
RA-369,"9,0","6,9","7,5","4,0","5,5",0,2022
RA-370,"8,5","8,2","5,0","5,2","9,2",-1,2022
RA-371,"9,5","8,0","6,9","7,8","9,0",0,2022
RA-372,"8,5","5,5","6,9","8,3","7,2",0,2022
RA-373,"6,4","9,5","5,0","6,5","8,0",0,2022
RA-374,"9,0","9,8","7,5","5,3","8,5",-1,2022
RA-375,"9,0","9,5","7,5","3,3","7,5",0,2022
RA-376,"9,0","9,0","7,5","2,0","6,7",-1,2022
RA-377,"9,0","7,7","5,6","4,3","8,0",-1,2022
RA-378,"9,0","6,8","5,6","8,7","7,5",-1,2022
RA-379,"8,5","8,1","7,5","5,0","5,0",-1,2022
RA-380,"7,9","4,4","5,0","2,3","2,7",-1,2022
RA-381,"9,0","8,3","6,9","1,5","5,2",-1,2022
